법령일련번호,MST,구분,문장번호,내용
000110,253609,항,22,① 공사는 제1조의 목적을 달성하기 위하여 다음 각 호의 사업을 수행한다. <개정 2016.12.20>
000110,253609,호,23,1. 국제관광 진흥사업
000110,253609,목,24,가. 외국인 관광객의 유치를 위한 홍보
000110,253609,목,25,나. 국제관광시장의 조사 및 개척
000110,253609,목,26,다. 관광에 관한 국제협력의 증진
000110,253609,목,27,라. 국제관광에 관한 지도 및 교육
000110,253609,호,28,2. 국민관광 진흥사업
000110,253609,목,29,가. 국민관광의 홍보
000110,253609,목,30,나. 국민관광의 실태 조사
000110,253609,목,31,다. 국민관광에 관한 지도 및 교육
000110,253609,목,32,"라. 장애인, 노약자 등 관광취약계층에 대한 관광 지원"
000110,253609,호,33,3. 관광자원 개발사업
000110,253609,목,34,"가. 관광단지의 조성과 관리, 운영 및 처분"
000110,253609,목,35,나. 관광자원 및 관광시설의 개발을 위한 시범사업
000110,253609,목,36,다. 관광지의 개발
000110,253609,목,37,라. 관광자원의 조사
000110,253609,호,38,4. 관광산업의 연구ㆍ개발사업
000110,253609,목,39,가. 관광산업에 관한 정보의 수집ㆍ분석 및 연구
000110,253609,목,40,나. 관광산업의 연구에 관한 용역사업
000110,253609,호,41,5. 관광 관련 전문인력의 양성과 훈련 사업
000110,253609,호,42,6. 관광사업의 발전을 위하여 필요한 물품의 수출입업을 비롯한 부대사업으로서 이사회가 의결한 사업
000110,253609,항,43,② 공사는 제1항에 따른 사업 중 필요하다고 인정하는 사업은 이사회의 의결을 거쳐 타인에게 위탁하여 경영하게 할 수 있다.
000110,253609,항,44,"③ 공사는 국가, 지방자치단체, 「공공기관의 운영에 관한 법률」에 따른 공공기관 및 그 밖의 공공단체 중 대통령령으로 정하는 기관으로부터 제1항 각 호의 어느 하나에 해당하는 사업을 위탁받아 시행할 수 있다. <신설 2017.12.12>"
000110,253609,조문,45,제13조(손익금의 처리)
000110,253609,항,46,① 공사는 매 사업연도의 결산 결과 이익이 생기면 다음 각 호의 순서로 처리한다.
000110,253609,호,47,1. 이월손실금의 보전
000110,253609,호,48,2. 자본금의 2분의 1에 이를 때까지 이익금의 10분의 1 이상을 이익준비금으로 적립
000110,253609,호,49,3. 주주에 대한 배당
000110,253609,호,50,4. 제2호에 따른 이익준비금 외의 준비금으로 적립
000110,253609,호,51,5. 다음 연도로 이월
000110,253609,항,52,"② 공사는 매 사업연도의 결산 결과 손실이 생기면 제1항제4호에 따른 적립금으로 보전하고 그 적립금으로도 부족하면 같은 항 제2호에 따른 적립금으로 이를 보전하되, 그 미달액은 다음 사업연도로 이월한다."
000110,253609,항,53,③ 제1항제2호 및 제4호에 따른 적립금은 대통령령으로 정하는 바에 따라 자본금으로 전입할 수 있다.
000110,253609,조문,54,제14조(보조금) 정부는 예산의 범위에서 공사의 사업과 운영에 필요한 비용을 보조할 수 있다. <개정 2017.12.12>
000110,253609,조문,55,제15조(사채의 발행 등)
000110,253609,항,56,① 공사는 이사회의 의결을 거쳐 자본금과 적립금 합계액의 2배를 초과하지 아니하는 범위에서 사채(社債)를 발행할 수 있다.
000110,253609,항,57,② 정부는 제1항에 따라 공사가 발행하는 사채의 원리금의 상환을 보증할 수 있다.
000110,253609,조문,58,제16조(감독) 문화체육관광부장관은 공사의 경영목표를 달성하기 위하여 필요한 범위에서 다음 각 호의 사항과 관련되는 공사의  업무에 관하여 지도ㆍ감독한다.
000110,253609,항,59,
000110,253609,호,60,1. 국제관광 및 국민관광 진흥사업
000110,253609,호,61,2. 관광자원 개발사업
000110,253609,호,62,3. 관광산업의 연구ㆍ개발사업
000110,253609,호,63,4. 관광 관련 전문인력의 양성과 훈련 사업
000110,253609,호,64,5. 법령에 따라 문화체육관광부장관이 위탁 또는 대행하도록 한 사업
000110,253609,호,65,6. 그 밖에 관계 법령에서 정하는 사업
000110,253609,조문,66,제17조(다른 법률과의 관계) 이 법에 규정되지 아니한 공사의 조직과 경영 등에 관한 사항은 「공공기관의 운영에 관한 법률」에 따른다.
000110,253609,조문,67,제18조(벌칙) 제11조를 위반하여 비밀을 누설하거나 도용한 자는 2년 이하의 징역 또는 2천만원 이하의 벌금에 처한다. <개정 2017.12.12>
000110,253609,조문,68,제19조(과태료)
000110,253609,항,69,① 제6조를 위반하여 한국관광공사 또는 이와 유사한 명칭을 사용한 자에게는 300만원 이하의 과태료를 부과한다.
000110,253609,항,70,② 제1항에 따른 과태료는 대통령령으로 정하는 바에 따라 문화체육관광부장관이 부과ㆍ징수한다.
